run	barcode	sample
20211124_MIDNIGHT_SEQ4_JB_LD	82	8295a80c92794545
20211124_MIDNIGHT_SEQ4_JB_LD	83	dfdc590f52a2bcb6
20211124_MIDNIGHT_SEQ4_JB_LD	84	1b3a8dfb8648b8bc
20211124_MIDNIGHT_SEQ4_JB_LD	85	4accd6ec7cf4c036
20211124_MIDNIGHT_SEQ4_JB_LD	86	828d36b33979def6
20211124_MIDNIGHT_SEQ4_JB_LD	87	50bd607f0981ce81
20211124_MIDNIGHT_SEQ4_JB_LD	88	4da5f22c6a33df72
20211124_MIDNIGHT_SEQ4_JB_LD	89	08c3e58e0afb5f6e
20211124_MIDNIGHT_SEQ4_JB_LD	90	631fe918a79006e4
20211124_MIDNIGHT_SEQ4_JB_LD	91	2501f7c3226bfbe1
20211124_MIDNIGHT_SEQ4_JB_LD	92	f0e9d99a7ded21c1
20211124_MIDNIGHT_SEQ4_JB_LD	93	WHO
20211124_MIDNIGHT_SEQ4_JB_LD	94	NEG
20211124_MIDNIGHT_SEQ4_JB_LD	95	
20211124_MIDNIGHT_SEQ4_JB_LD	96	
SEQ_4_ARTIC_221121	01	NC
SEQ_4_ARTIC_221121	02	29ff730192903986
SEQ_4_ARTIC_221121	03	ac926960f4f13bba
SEQ_4_ARTIC_221121	04	a8c98dc241bc6cc6
SEQ_4_ARTIC_221121	05	921d55724ca853d8
SEQ_4_ARTIC_221121	06	4e666ff1072530cb
SEQ_4_ARTIC_221121	07	d7bb52226e2774fc
SEQ_4_ARTIC_221121	08	a3aa1e902486cb82
SEQ_4_ARTIC_221121	09	2a406b19f0db2578
SEQ_4_ARTIC_221121	10	792b80afabd3f24d
SEQ_4_ARTIC_221121	11	9698a6cdc25cf0f5
SEQ_4_ARTIC_221121	12	08c3e58e0afb5f6e
SEQ_4_ARTIC_221121	13	IQC
SEQ_4_ARTIC_221121	14	58936a2a2972fb4f
SEQ_4_ARTIC_221121	15	54c569736db06ebd
SEQ_4_ARTIC_221121	16	755362a5a533a0de
SEQ_4_ARTIC_221121	17	c5e0c73f69899237
SEQ_4_ARTIC_221121	18	3b4a7b54f1841b01
SEQ_4_ARTIC_221121	19	e9972ba79b191491
SEQ_4_ARTIC_221121	20	dbcee42bc891946e
SEQ_4_ARTIC_221121	21	59b76e3d15fd72ed
SEQ_4_ARTIC_221121	22	acc9f3b99efbaacf
SEQ_4_ARTIC_221121	23	8295a80c92794545
SEQ_4_ARTIC_221121	24	631fe918a79006e4
SEQ_4_ARTIC_221121	25	99f42777e5047478
SEQ_4_ARTIC_221121	26	fabf597e49a244b8
SEQ_4_ARTIC_221121	27	25c870014eec7a15
SEQ_4_ARTIC_221121	28	49e2b7917d22b2f7
SEQ_4_ARTIC_221121	29	84629f48884e9628
SEQ_4_ARTIC_221121	30	06e4d40ee20cda6c
SEQ_4_ARTIC_221121	31	3c349d95005dd98a
SEQ_4_ARTIC_221121	32	511196c0992d0cc5
SEQ_4_ARTIC_221121	33	0208f03bbec97b65
SEQ_4_ARTIC_221121	34	6a955745cb7233b7
SEQ_4_ARTIC_221121	35	dfdc590f52a2bcb6
SEQ_4_ARTIC_221121	36	2501f7c3226bfbe1
SEQ_4_ARTIC_221121	37	a0b4523b4e30f3fe
SEQ_4_ARTIC_221121	38	42b9e86eb7a268b1
SEQ_4_ARTIC_221121	39	57756b8c8b6bc594
SEQ_4_ARTIC_221121	40	be2761fe258b19e4
SEQ_4_ARTIC_221121	41	e6a6b02b19fb134e
SEQ_4_ARTIC_221121	42	a794e4af9bb50554
SEQ_4_ARTIC_221121	43	45d6208edd0b02a5
SEQ_4_ARTIC_221121	44	f03b7cd49848be0a
SEQ_4_ARTIC_221121	45	5d3505bfbf5c196e
SEQ_4_ARTIC_221121	46	5a2ba8d0da849748
SEQ_4_ARTIC_221121	47	1b3a8dfb8648b8bc
SEQ_4_ARTIC_221121	48	f0e9d99a7ded21c1
SEQ_4_ARTIC_221121	49	688999a3baff0e45
SEQ_4_ARTIC_221121	50	03409ddc9f75c396
SEQ_4_ARTIC_221121	51	5098b39242b158ac
SEQ_4_ARTIC_221121	52	6879b9d5dc96ff90
SEQ_4_ARTIC_221121	53	03248a6e6bf69e5f
SEQ_4_ARTIC_221121	54	c5bd388dc622cf0c
SEQ_4_ARTIC_221121	55	22cbba4a77820864
SEQ_4_ARTIC_221121	56	1e4f8503f2b3a7a0
SEQ_4_ARTIC_221121	57	8b8a2295dbc9268a
SEQ_4_ARTIC_221121	58	287f5c97cf29379a
SEQ_4_ARTIC_221121	59	4accd6ec7cf4c036
SEQ_4_ARTIC_221121	60	WHO
SEQ_4_ARTIC_221121	61	bc7c9f95ed192dd6
SEQ_4_ARTIC_221121	62	f26bf2947c81d307
SEQ_4_ARTIC_221121	63	e565ef8c0f39f739
SEQ_4_ARTIC_221121	64	a5d39da57716d742
SEQ_4_ARTIC_221121	65	167e04013f972239
SEQ_4_ARTIC_221121	66	0d877a9f97689f4b
SEQ_4_ARTIC_221121	67	b263ea771522c402
SEQ_4_ARTIC_221121	68	69b1a7d5caaa54d0
SEQ_4_ARTIC_221121	69	c524ee5e77351c82
SEQ_4_ARTIC_221121	70	76edbc33f6eaca2e
SEQ_4_ARTIC_221121	71	828d36b33979def6
SEQ_4_ARTIC_221121	72	NEG
SEQ_4_ARTIC_221121	73	44167420dfc6d346
SEQ_4_ARTIC_221121	74	418a77421034314d
SEQ_4_ARTIC_221121	75	5f6c2470006e581b
SEQ_4_ARTIC_221121	76	c20b32e534045905
SEQ_4_ARTIC_221121	77	bdcb23c0f25ccccd
SEQ_4_ARTIC_221121	78	be6dba4aa94fe8c1
SEQ_4_ARTIC_221121	79	1834c1232e83fe93
SEQ_4_ARTIC_221121	80	7f1cbd7b6ad0a950
SEQ_4_ARTIC_221121	81	2a088fd234ab9c65
SEQ_4_ARTIC_221121	82	0153d753356468cb
SEQ_4_ARTIC_221121	83	50bd607f0981ce81
SEQ_4_ARTIC_221121	84	PC
